L1_x0,L1_y0,L1_z0,L1_x1,L1_y1,L1_z1,L1_x2,L1_y2,L1_z2,L1_x3,L1_y3,L1_z3,L1_x4,L1_y4,L1_z4,L1_x5,L1_y5,L1_z5,L1_x6,L1_y6,L1_z6,L1_x7,L1_y7,L1_z7,L1_x8,L1_y8,L1_z8,L1_x9,L1_y9,L1_z9,L1_x10,L1_y10,L1_z10,L1_x11,L1_y11,L1_z11,L1_x12,L1_y12,L1_z12,L1_x13,L1_y13,L1_z13,L1_x14,L1_y14,L1_z14,L1_x15,L1_y15,L1_z15,L1_x16,L1_y16,L1_z16,L1_x17,L1_y17,L1_z17,L1_x18,L1_y18,L1_z18,L1_x19,L1_y19,L1_z19,L1_x20,L1_y20,L1_z20,L2_x0,L2_y0,L2_z0,L2_x1,L2_y1,L2_z1,L2_x2,L2_y2,L2_z2,L2_x3,L2_y3,L2_z3,L2_x4,L2_y4,L2_z4,L2_x5,L2_y5,L2_z5,L2_x6,L2_y6,L2_z6,L2_x7,L2_y7,L2_z7,L2_x8,L2_y8,L2_z8,L2_x9,L2_y9,L2_z9,L2_x10,L2_y10,L2_z10,L2_x11,L2_y11,L2_z11,L2_x12,L2_y12,L2_z12,L2_x13,L2_y13,L2_z13,L2_x14,L2_y14,L2_z14,L2_x15,L2_y15,L2_z15,L2_x16,L2_y16,L2_z16,L2_x17,L2_y17,L2_z17,L2_x18,L2_y18,L2_z18,L2_x19,L2_y19,L2_z19,L2_x20,L2_y20,L2_z20,label
0.6982616186141968,0.7134888172149658,5.886848697400637e-08,0.7296574115753174,0.6347399353981018,-0.002321395790204406,0.7276991605758667,0.5517089366912842,-0.016453512012958527,0.688219428062439,0.4917519986629486,-0.030333001166582108,0.6465354561805725,0.4650203287601471,-0.044920094311237335,0.7326208353042603,0.5300883650779724,-0.038710810244083405,0.6737992763519287,0.4230822026729584,-0.061371952295303345,0.6527891755104065,0.41138505935668945,-0.07258036732673645,0.6514143943786621,0.423103392124176,-0.07593565434217453,0.6871927380561829,0.5534161329269409,-0.045132432132959366,0.640579879283905,0.44118866324424744,-0.05955323576927185,0.6277703642845154,0.42908355593681335,-0.06086746230721474,0.6285054683685303,0.43550968170166016,-0.06138341501355171,0.6455782651901245,0.5740916728973389,-0.05002942681312561,0.611105740070343,0.4665699601173401,-0.05830177664756775,0.6040337681770325,0.46253493428230286,-0.04782986640930176,0.6071447134017944,0.474310040473938,-0.04052504152059555,0.6099897027015686,0.5914203524589539,-0.05460595339536667,0.5914941430091858,0.5047908425331116,-0.05666014552116394,0.5900173187255859,0.4967132806777954,-0.04460608586668968,0.5913651585578918,0.5011252164840698,-0.03520088642835617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7203419804573059,0.6578136086463928,-7.247568589718867e-08,0.7464754581451416,0.5711405873298645,0.01503373309969902,0.7489393353462219,0.48851335048675537,0.010678690858185291,0.7100584506988525,0.4352066218852997,0.002921667182818055,0.671099841594696,0.4176592230796814,-0.0062437960878014565,0.7731622457504272,0.451431542634964,-0.013845020905137062,0.7064634561538696,0.3715324401855469,-0.029809387400746346,0.6682078838348389,0.37542104721069336,-0.037938907742500305,0.6517187356948853,0.3900863528251648,-0.04092470556497574,0.7318246960639954,0.4583762288093567,-0.029142623767256737,0.6801773309707642,0.34460169076919556,-0.039153922349214554,0.6597998142242432,0.3389807343482971,-0.03731546178460121,0.6561963558197021,0.3487216532230377,-0.0351521372795105,0.6908327341079712,0.47382649779319763,-0.041933972388505936,0.6450581550598145,0.3570970296859741,-0.04826052859425545,0.6324477195739746,0.3691163659095764,-0.034190043807029724,0.635921061038971,0.39275670051574707,-0.023577813059091568,0.6509549021720886,0.497520387172699,-0.053186237812042236,0.618664026260376,0.40430521965026855,-0.05451996251940727,0.6098688840866089,0.39986586570739746,-0.04024137556552887,0.607167661190033,0.40548253059387207,-0.028638416901230812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7188060879707336,0.6503860354423523,-2.3800382109584461e-07,0.7468368411064148,0.5686048269271851,0.011791943572461605,0.7496142387390137,0.48692283034324646,0.003880225820466876,0.7115987539291382,0.4294252395629883,-0.006713187322020531,0.6703601479530334,0.4103003442287445,-0.019414978101849556,0.7730690836906433,0.4493594169616699,-0.01838868111371994,0.7087634205818176,0.3725021183490753,-0.03994559124112129,0.6663791537284851,0.37197670340538025,-0.05365195870399475,0.6437857747077942,0.38293546438217163,-0.060618460178375244,0.7324033379554749,0.4547620713710785,-0.03375213220715523,0.6812983751296997,0.3418053388595581,-0.05042829364538193,0.659650444984436,0.34058070182800293,-0.051604725420475006,0.6533088684082031,0.35242989659309387,-0.050801049917936325,0.691311240196228,0.4716898500919342,-0.047326382249593735,0.646063506603241,0.35409796237945557,-0.06124366447329521,0.628250777721405,0.35632410645484924,-0.05144907906651497,0.6246961355209351,0.36671561002731323,-0.04276710003614426,0.6513773798942566,0.4971707761287689,-0.05923372879624367,0.6222302913665771,0.40670543909072876,-0.06841753423213959,0.6112664341926575,0.3936377167701721,-0.05957603454589844,0.6043683290481567,0.3839631974697113,-0.051289211958646774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7119302153587341,0.6047524213790894,-2.09167438924851e-07,0.7363041043281555,0.5140436291694641,0.019295023754239082,0.7346078753471375,0.4280608892440796,0.01571987383067608,0.6998108625411987,0.364167720079422,0.009614530950784683,0.6624542474746704,0.3345116376876831,0.0012130395043641329,0.7602416276931763,0.3941343426704407,-0.01973038725554943,0.6909829378128052,0.3236480951309204,-0.031938336789608,0.6505311131477356,0.3193705677986145,-0.033606164157390594,0.6240428686141968,0.32865554094314575,-0.031584031879901886,0.721806526184082,0.40318018198013306,-0.03685116395354271,0.6640691161155701,0.2924451529979706,-0.049323003739118576,0.6295311450958252,0.2891548275947571,-0.045137472450733185,0.6091960668563843,0.30391842126846313,-0.039073728024959564,0.6816008687019348,0.4230533838272095,-0.049854084849357605,0.6317340135574341,0.30810248851776123,-0.05964178964495659,0.6044291257858276,0.30605548620224,-0.047622665762901306,0.5919414162635803,0.3177420496940613,-0.036710225045681,0.6422473192214966,0.45378339290618896,-0.05990222841501236,0.61220782995224,0.3624470829963684,-0.06454525887966156,0.5980073809623718,0.3495097756385803,-0.05193405598402023,0.5880964994430542,0.3470260798931122,-0.04020574688911438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7025212645530701,0.5988156795501709,-3.004643644999305e-07,0.7295523285865784,0.502572774887085,0.02160225436091423,0.7285822033882141,0.41866227984428406,0.02076876536011696,0.6946929097175598,0.3526824414730072,0.016710305586457253,0.6620912551879883,0.3210519254207611,0.010786694474518299,0.7481364011764526,0.38727620244026184,-0.012100406922399998,0.6836536526679993,0.3279745578765869,-0.023370107635855675,0.6435474157333374,0.32720085978507996,-0.024063197895884514,0.6194072365760803,0.3387809991836548,-0.021334975957870483,0.7103660106658936,0.39437198638916016,-0.03090796247124672,0.6585031747817993,0.2855411767959595,-0.042510103434324265,0.6256470680236816,0.28486132621765137,-0.036775603890419006,0.6095744967460632,0.30274274945259094,-0.02936486154794693,0.6715424656867981,0.4137628674507141,-0.04590074345469475,0.6247770190238953,0.30206769704818726,-0.055328983813524246,0.5995291471481323,0.3080269396305084,-0.040775738656520844,0.5926269888877869,0.3258274495601654,-0.027767732739448547,0.6332144737243652,0.4467405080795288,-0.058172713965177536,0.6028812527656555,0.35412800312042236,-0.06078500300645828,0.5920794010162354,0.3532673120498657,-0.04446407034993172,0.5881643295288086,0.3641836941242218,-0.03019406832754612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.6992236375808716,0.6094863414764404,-3.33255570694746e-07,0.7294660210609436,0.5178139805793762,0.02151932753622532,0.7289689779281616,0.43104279041290283,0.021825823932886124,0.6960682272911072,0.361355721950531,0.01871359534561634,0.6660589575767517,0.32344159483909607,0.013483129441738129,0.7467806339263916,0.39414408802986145,-0.00981468241661787,0.6812036633491516,0.33271336555480957,-0.019108200445771217,0.6421939134597778,0.32934460043907166,-0.019450847059488297,0.6187911033630371,0.33631086349487305,-0.01704014278948307,0.708306610584259,0.4002869129180908,-0.027339937165379524,0.6548464298248291,0.29571613669395447,-0.03598129749298096,0.6233502626419067,0.29115304350852966,-0.02995327301323414,0.6067243814468384,0.30522048473358154,-0.023415235802531242,0.6697900295257568,0.41941866278648376,-0.04125029221177101,0.6225888729095459,0.3135365843772888,-0.0481470450758934,0.5987457036972046,0.3159652054309845,-0.03460051491856575,0.5909575819969177,0.3302779197692871,-0.023313846439123154,0.6317113637924194,0.451508104801178,-0.05254377797245979,0.6007663011550903,0.3659948706626892,-0.05442775413393974,0.5904452800750732,0.3586633801460266,-0.04073081165552139,0.5866121053695679,0.3603804409503937,-0.028858710080385208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.6986424326896667,0.605768620967865,-3.2287212547998934e-07,0.7276833653450012,0.5117872357368469,0.02066687121987343,0.7280871272087097,0.42630428075790405,0.019947951659560204,0.6964542269706726,0.3556886315345764,0.016126524657011032,0.6651015281677246,0.32030874490737915,0.010172011330723763,0.7466618418693542,0.39079269766807556,-0.014786461368203163,0.6795951724052429,0.3283042907714844,-0.024272499606013298,0.6392682194709778,0.32632866501808167,-0.022725079208612442,0.6158641576766968,0.33359941840171814,-0.019138259813189507,0.7088357210159302,0.39817145466804504,-0.03267747536301613,0.6535182595252991,0.29055917263031006,-0.042789869010448456,0.6189395189285278,0.2876533567905426,-0.03579303249716759,0.600986123085022,0.30133238434791565,-0.028453892096877098,0.6704522371292114,0.4188291132450104,-0.04674569517374039,0.6209697127342224,0.30869677662849426,-0.05565134435892105,0.594007670879364,0.3127393126487732,-0.04202740266919136,0.5847528576850891,0.32740822434425354,-0.03045007586479187,0.6325370073318481,0.45301127433776855,-0.058127403259277344,0.6020990014076233,0.3636898994445801,-0.06256767362356186,0.5894955396652222,0.3560871481895447,-0.04998869448900223,0.5837218761444092,0.35761263966560364,-0.03876403719186783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7083820104598999,0.6219305992126465,-3.6419896787265316e-07,0.7341406345367432,0.5292991995811462,0.0202786922454834,0.7305445671081543,0.4421379566192627,0.017562706023454666,0.6941347718238831,0.3757457435131073,0.011710049584507942,0.6617040038108826,0.3417402505874634,0.0033800695091485977,0.7546393275260925,0.4094248116016388,-0.01853429153561592,0.6845915913581848,0.34272828698158264,-0.0314706526696682,0.642146646976471,0.33900487422943115,-0.034034501761198044,0.6163826584815979,0.3470913767814636,-0.03319818153977394,0.7171152234077454,0.4188680350780487,-0.03701619431376457,0.657886803150177,0.30725353956222534,-0.048537954688072205,0.623043417930603,0.30035439133644104,-0.044018205255270004,0.6038962006568909,0.31074610352516174,-0.03900142014026642,0.6791622638702393,0.44092604517936707,-0.051660846918821335,0.6256033778190613,0.3253243565559387,-0.061907943338155746,0.5980027914047241,0.32331520318984985,-0.04980193451046944,0.5877079367637634,0.3334848880767822,-0.03946244716644287,0.6410438418388367,0.47463929653167725,-0.06345055997371674,0.6054142713546753,0.38243189454078674,-0.06905918568372726,0.5915420651435852,0.3685533106327057,-0.05727367475628853,0.5848783254623413,0.36332783102989197,-0.04679879546165466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7221728563308716,0.6606135368347168,-3.890777406923007e-07,0.7482171654701233,0.5701677203178406,0.02077959105372429,0.7473326325416565,0.49099382758140564,0.01649455726146698,0.7141600847244263,0.43571674823760986,0.008490581065416336,0.6733773946762085,0.41662079095840454,-0.0024465795140713453,0.7713688015937805,0.4549850821495056,-0.02317661978304386,0.699090301990509,0.37523138523101807,-0.03933282941579819,0.6556732058525085,0.37217631936073303,-0.04302363470196724,0.6324157118797302,0.3800763189792633,-0.04282732307910919,0.7330130934715271,0.46190258860588074,-0.04255050793290138,0.6727482676506042,0.3433557450771332,-0.05881094932556152,0.6360493302345276,0.33411934971809387,-0.055536963045597076,0.6185711026191711,0.34052330255508423,-0.05049150064587593,0.6920568943023682,0.48150938749313354,-0.05811000242829323,0.6419274806976318,0.35863369703292847,-0.07236761599779129,0.6115010976791382,0.3550882935523987,-0.0616169273853302,0.598753809928894,0.3625141680240631,-0.0511799082159996,0.6519069075584412,0.5130075216293335,-0.07061824947595596,0.6179198622703552,0.41480153799057007,-0.08042719215154648,0.5972006320953369,0.39139828085899353,-0.07119656354188919,0.5831254720687866,0.375045508146286,-0.06173493713140488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
0.7279175519943237,0.6894891858100891,-3.8071436847531004e-07,0.7521153688430786,0.5971939563751221,0.021995212882757187,0.7496654987335205,0.5178284645080566,0.018331555649638176,0.7181706428527832,0.46529898047447205,0.009587405249476433,0.6798243522644043,0.4461876153945923,-0.0028689352329820395,0.774796724319458,0.4766678512096405,-0.015895675867795944,0.7023831009864807,0.39333105087280273,-0.03576367348432541,0.6563053131103516,0.38927650451660156,-0.04585035890340805,0.6328985691070557,0.3992750644683838,-0.049376655369997025,0.7388243079185486,0.4871384799480438,-0.036587100476026535,0.6778743863105774,0.37099963426589966,-0.05174000933766365,0.6394251585006714,0.3683079183101654,-0.051794182509183884,0.6219338178634644,0.3847874402999878,-0.049922261387109756,0.6988293528556824,0.5101456046104431,-0.05426768958568573,0.6480472087860107,0.39319178462028503,-0.06603711098432541,0.6154036521911621,0.3920394778251648,-0.05833543837070465,0.6030189990997314,0.40591520071029663,-0.05122702196240425,0.6579890251159668,0.5427598357200623,-0.0691879540681839,0.6220703721046448,0.450097918510437,-0.0760793685913086,0.6033778786659241,0.43333500623703003,-0.0673174038529396,0.5937837958335876,0.42821410298347473,-0.05908708646893501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tahanan
